"County","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-09","2020-05-10","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-16","2020-05-17","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22"
"Northampton","4868","5004","5141","5341","5498","5643","5768","5843","5957","6092","6247","6381","6548","6656","6763","6853","7065","7267","7500","7718","7980","7980","8301","8536","8536","8889","9513","9679","9941","10286","10548","10975","11306"
"Northumberland","274","288","324","355","392","423","453","473","495","518","553","584","615","639","653","683","711","745","777","810","841","841","882","922","922","944","1017","1048","1065","1093","1134","1179","1205"
"Perry","119","126","134","145","158","168","176","182","196","204","213","219","233","247","266","289","306","318","342","350","361","361","394","405","405","424","458","478","491","521","534","562","579"
"Philadelphia","20477","20817","21464","22384","23079","24,078","24646","25299","25733","26601","27510","28278","29612","30370","30855","31631","32319","33133","34385","35203","36137","36137","37598","38318","38318","39263","41477","41979","43031","44335","45313","46470","48077"
"Pike","982","1001","1006","1031","1058","1093","1106","1120","1146","1170","1208","1227","1294","1316","1337","1365","1372","1402","1430","1456","1479","1479","1531","1545","1545","1587","1646","1651","1681","1718","1736","1770","1807"
"Potter","55","61","65","68","70","72","72","73","75","77","80","82","84","86","87","88","92","93","95","98","98","98","102","104","104","108","109","111","117","119","123","123","126"
"Schuylkill","1473","1501","1560","1600","1666","1732","1803","1825","1868","1912","1986","2069","2136","2192","2235","2279","2339","2404","2479","2547","2632","2632","2711","2823","2823","2920","3134","3202","3282","3347","3583","3769","3881"
"Snyder","128","133","143","154","158","165","172","177","181","185","192","201","204","222","228","234","244","246","250","254","266","266","273","281","281","287","298","303","312","318","327","331","341"
"Somerset","336","361","381","427","457","467","486","503","518","539","581","596","621","638","660","705","726","779","831","857","889","889","944","1030","1030","1070","1184","1222","1249","1287","1329","1414","1431"
"Sullivan","24","24","24","25","26","27","27","26","29","30","31","32","34","37","38","41","46","47","48","51","51","51","57","63","63","64","66","66","69","73","77","78","80"
"Susquehanna","177","182","185","198","212","222","235","241","248","256","272","281","302","313","327","338","347","360","375","385","398","398","429","441","441","461","493","501","519","534","543","566","600"
"Tioga","175","177","184","191","197","200","205","212","216","233","246","251","256","260","264","272","316","326","332","340","342","342","352","390","390","397","402","407","417","431","452","461","474"
"Union","412","424","429","447","461","467","478","491","510","514","527","543","570","584","592","601","608","616","631","651","661","661","675","682","682","699","766","773","806","812","854","877","909"
"Venango","189","190","191","199","215","222","226","231","235","245","246","251","256","264","265","269","273","276","286","294","301","301","307","314","314","338","349","371","374","377","384","417","448"
"Warren","135","137","137","138","149","149","150","160","165","168","170","175","180","184","186","190","192","197","201","203","211","211","217","220","220","228","242","251","256","269","280","294","313"
"Washington","1553","1577","1616","1722","1766","1817","1865","1970","1985","2033","2079","2103","2195","2236","2300","2364","2463","2533","2595","2653","2688","2688","2747","2861","2861","2932","3039","3053","3170","3265","3469","3560","3713"
"Wayne","402","403","408","430","448","459","468","487","490","496","511","524","544","565","576","586","590","606","618","631","638","638","663","675","675","685","708","721","753","777","788","798","833"
"Westmoreland","3481","3529","3581","3801","3846","3969","4086","4188","4280","4378","4447","4596","4749","4842","4979","5094","5327","5497","5645","5769","5840","5840","6052","6266","6266","6533","6844","7094","7258","7434","7573","7780","8001"
"Wyoming","77","78","83","90","100","110","121","128","135","145","150","160","175","182","192","199","204","212","224","229","242","242","275","284","284","296","318","326","333","346","353","372","387"
"York","5360","5481","5585","5705","5936","6159","6326","6509","6644","6761","6965","7111","7327","7459","7683","7846","7912","8105","8286","8500","8621","8621","9001","9228","9228","9413","9812","9999","10221","10589","10682","11114","11373"
"York ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
